"","GEOID","Tract","INDI_1_21n1_fam","INDI_1_21n1_sing_women","INDI_1_31n4","INDI_1_31n3","INDI_1_31n7","INDI_1_31n8","INDI_4_22n1","INDI_4_31n1","INDI_4_31n2","INDI_4_31n3","INDI_4_31n4","INDI_4_31n5","INDI_4_31n6","INDI_8_52n1","INDI_8_61n1","INDI_8_61n2_1","INDI_8_61n2_2","Disc_labor","Disc_sc_enroll","STEM_major","INDI_9_22n1","INDI_9_c1n1","inad_plum","inad_rooms","INDI_11_31n2","use_pub_trans","Earn_lessthan_35K_30p_house_cost","percent_of_renters"
"1","","","Current poverty levels as defined by USA, by sections of the population. {family}(des)","Current poverty levels as defined by USA, by sections of the population. {single women}(des)","Percent of people covered by at least one social protection benefit, by sections of the population (FOOD STAMPS) (des)","Percentage of population receiving TANF, by sections of the population","Percent of people with disabilities receiving disability cash benefit (Unemploy)","Unemploy below poverty level, receiving cash benefits","Percentage of 3, and 4 year children attending preschool programs, by section of population.Census 3 to 4 year olds enrolled in school (asc)","Percentage of adults with did not complete high school or high school equivalency, by section of population. {%s high school completeion}.Adults with less than high school (25 yeards old or higher)(desc)","Percentage of adults that complete high school or high school equivalency, by section of population.","Percentage of adults who have attending college, by section of population","Percentage of adults who have earned a 1 year or 2 year professional certificate or an Associates Degree, by section of population.","Unemployment rate, by section of population.","Employment rate of youth ages 15 - 21, by section of the population.Unemployment 16 to 19 years (asc)","Percentage of adults who have earned a Graduate degree or higher, by section of population","High school completion rate, by section of the population. Over 25 years that completed high school (asc)","High school completion rate, by section of the population. Population between 18 and 24 that completed highschool(asc)","Disconected participation labor force of the young","Disconected school enroll of the young","Percent of adults that studied in a STEM field","Ratio of manufacturing jobs to all jobs, by section of population (des)","Availability of high speed data services. (percentage of homes)(asc)","Inadequate Plumbing","Inadequate N of rooms","Ratio of available housing stock to population growth. (affordability). 35% or more of household income (des)","Use public transportation to go to work when they have a vehicle available","Earn less than 35k and spend more than 30% in housing cost","Percent of families that live in a rented place",""
"2","42003010300","Census Tract 103, Allegheny County, Pennsylvania","38.1","51.2","21.6","48","0.0116207003408739","0.00263402541059808","100","84.4","0.369062631357713","0.260613703236654","0.0941572089113073","0.064312736443884","0.0559058427910887","12.1","23.6","84.4","3.8","34.6783558282209","0.852269938650307","0.405498281786942","2.3","79.7","0","0.0171821305841924","53.19","0.299610894941634","45","0.831615120274914"
"3","42003020100","Census Tract 201, Allegheny County, Pennsylvania","11.5","33.3","10","78","0.0192225544639043","0.00491243058521999","100","99.1","0.0740740740740741","0.109811565951917","0.048408057179987","0.311241065627031","0.44769330734243","4.1","65.2","99.1","1.4","57.6851620947631","0.910847880299252","0.256018341612533","4.9","82.8","0","0.0156118143459916","32.91","0.142988084326306","23.7","0.819831223628692"
"4","42003020300","Census Tract 203, Allegheny County, Pennsylvania","0","0","1.6","0","0.01036866359447","0","100","99.8","0.0370828182941904","0.072929542645241","0.0580964153275649","0.467243510506799","0.362175525339926","1.9","88.4","99.8","3.4","96.6101694915254","0.186440677966102","0.29676511954993","12.8","92.2","0","0.0561622464898596","31.88","0.0954545454545455","7.2","0.881435257410296"
"5","42003030500","Census Tract 305, Allegheny County, Pennsylvania","34.7","39.6","39.4","157","0.120087336244541","0.0199781659388646","100","82.5","0.414800995024876","0.175995024875622","0.0696517412935323","0.116915422885572","0.0478855721393035","19.1","36.2","82.5","14.3","59.8624060150376","0.605263157894737","0.168498168498169","2","53.3","0.0109489051094891","0.0136861313868613","54.96","0.186046511627907","50.4","0.763686131386861"
"6","42003040200","Census Tract 402, Allegheny County, Pennsylvania","28","42.1","39.4","53","0.0703611457036115","0.0338729763387298","0","90.8","0.37960687960688","0.137592137592138","0.058968058968059","0.142506142506143","0.189189189189189","16.8","40.5","90.8","0","54.1871212121212","0.877525252525252","0.29020979020979","7.2","66.9","0","0.0238473767885533","48.21","0.273291925465839","37.2","0.742448330683625"
"7","42003040400","Census Tract 404, Allegheny County, Pennsylvania","10.9","20","0","34","0.0299644489588624","0",,"99.3","0.0637554585152838","0.0873362445414847","0.0262008733624454","0.337117903930131","0.478602620087336","5.2","39.6","99.3","0","46.1074733096085","0.958481613285884","0.329329329329329","1.7","75.9","0.0100250626566416","0.0584795321637427","80.38","0.121642969984202","48.5","0.466165413533835"
"8","42003040500","Census Tract 405, Allegheny County, Pennsylvania","49.2","63.6","1.2","59","0.0198381623596972","0.00140955364134691","100","94.5","0.158690176322418","0.214105793450882","0","0.408060453400504","0.163727959697733","6.6","53.1","94.5","1","58.368520675597","0.94612696563774","0.622881355932203","4.9","90.3","0","0.0123674911660777","85.41","0.132760898282695","66.8","0.946996466431095"
"9","42003040600","Census Tract 406, Allegheny County, Pennsylvania","13.4","0","1","17","0.021087160262418","0.00328022492970947",,"73.6","0.115577889447236","0.173366834170854","0.050251256281407","0.291457286432161","0.105527638190955","7.4","60.6","73.6","0.9","67.8241935483871","0.870967741935484","0.419161676646707","3.2","83.9","0","0.0168161434977578","73.41","0.201492537313433","62","0.876681614349776"
"10","42003040900","Census Tract 409, Allegheny County, Pennsylvania","30.4","49.2","13.4","83","0.0316757493188011","0.00565395095367847","100","90.1","0.227097767513472","0.179368745188607","0.103156274056967","0.168591224018476","0.223248652809854","10.6","49.2","90.1","0","50.9681318681319","0.828449328449329","0.497373029772329","2.2","78.5","0","0.0256211180124224","66.63","0.124251497005988","49.1","0.687888198757764"
"11","42003050100","Census Tract 501, Allegheny County, Pennsylvania","42.3","55.7","55.4","218","0.0741433021806854","0.0245482866043614","32.3","77.8","0.285714285714286","0.286462228870606","0.128646222887061","0.0261780104712042","0.0508601346297681","19.6","49.3","77.8","3.9","72.6576642335766","0.434306569343066","0.116504854368932","3.3","48.7","0","0","40.06","0.592150170648464","40.5","0.721887550200803"
"12","42003050600","Census Tract 506, Allegheny County, Pennsylvania","13.1","27.4","20.8","62","0.0624669137109582","0.0112758073054526","0","91.2","0.302606484424666","0.15829624920534","0.0661157024793388","0.157660521296885","0.227590591226955","6.9","45.4","91.2","30.8","62.95","0.370253164556962","0.187017001545595","3","63.7","0","0.0408388520971302","33.93","0.0924702774108322","32.8","0.378587196467991"
"13","42003050900","Census Tract 509, Allegheny County, Pennsylvania","53.6","43.6","55.7","187","0.106212424849699","0.051503006012024","66.7","87.4","0.504358655043587","0.240348692403487","0.0734744707347447","0.0485678704856787","0.0074719800747198","29.8","39.2","87.4","33.6","69.1974358974359","0.307692307692308","0.101694915254237","2","44.7","0.0177215189873418","0.0215189873417722","28.42","0.444444444444444","34.7","0.9"
"14","42003051000","Census Tract 510, Allegheny County, Pennsylvania","60.1","60.6","30.9","104","0.0362642821659215","0.00715350223546945","72.7","91.7","0.306944444444444","0.301388888888889","0.0416666666666667","0.075","0.191666666666667","7.6","40.6","91.7","1.4","35.4967889908257","0.88302752293578","0.326633165829146","2","67.5","0","0","58.95","0.67741935483871","59.8","0.895027624309392"
"15","42003051100","Census Tract 511, Allegheny County, Pennsylvania","0","0","70.7","0","0.058252427184466",,"0","75.8","0.621052631578947","0","0.0526315789473684","0.0842105263157895","0","19.4","52.4","75.8","0",,"0","0","11.1","46.3","0","0","21.95","1","12.2","1"
"16","42003060300","Census Tract 603, Allegheny County, Pennsylvania","16.4","39.3","16.7","72","0.0256288561936402","0.0131466540104414","0","92.6","0.164718384697131","0.184909670563231","0.0377258235919235","0.316684378320935","0.222104144527099","7.8","72.5","92.6","6.4","73.3809523809524","0.792207792207792","0.152270703472841","13.8","79.5","0.00561797752808989","0.0224719101123595","34.18","0.135433070866142","26","0.554574638844302"
"17","42003060500","Census Tract 605, Allegheny County, Pennsylvania","5.4","15.6","14.4","14","0.00825082508250825","0.0301980198019802","100","92.3","0.242673992673993","0.169413919413919","0.0805860805860806","0.272893772893773","0.157509157509158","4.7","71.4","92.3","0","81.6256","0.416","0.192883895131086","7.1","73.6","0","0","24.01","0.227951153324288","22.2","0.487430167597765"
"18","42003070300","Census Tract 703, Allegheny County, Pennsylvania","0","0","0.9","0","0.00294550810014728","0","100","96.7","0.0890282131661442","0.0777429467084639","0.0300940438871473","0.363636363636364","0.406269592476489","1.7","69.4","96.7","0","73.0466063348416","0.805429864253394","0.222525597269625","3.5","93.6","0","0","41.16","0.244915254237288","19.8","0.697102721685689"
"19","42003070500","Census Tract 705, Allegheny County, Pennsylvania","9.6","27.6","1.5","46","0.00295566502463054","0.00397372742200328","100","99.5","0.0331793364132717","0.0289794204115918","0.000419991600167997","0.407811843763125","0.524989500209996","2.7","71","99.5","0.2",,"0.605882352941176","0.343563172578717","5.5","92.7","0","0.0100614868641699","37.23","0.336211548839719","26.5","0.813303521520402"
"20","42003070600","Census Tract 706, Allegheny County, Pennsylvania","0","0","0.8","0","0.0130890052356021","0.00445026178010471","100","99.7","0.059010152284264","0.0723350253807107","0.0285532994923858","0.312817258883249","0.524746192893401","2.5","71.7","99.7","0","71.8796407185629","0.565868263473054","0.282772820864791","8.9","92.2","0","0","36.35","0.459684893419833","27.6","0.615993665874901"
"21","42003070800","Census Tract 708, Allegheny County, Pennsylvania","4.3","0","0","13","0.0111731843575419","0","74","98.4","0.0426008968609865","0.047085201793722","0.0672645739910314","0.322122571001495","0.505231689088191","1.6","65.9","98.4","0",,"0.45353982300885","0.346872461413485","8.7","90.5","0","0.0458801498127341","53.19","0.256906077348066","23.8","0.789325842696629"
"22","42003070900","Census Tract 709, Allegheny County, Pennsylvania","9.5","55.6","1","49","0.0141325536062378","0.00155945419103314",,"95.4","0.102414330218069","0.0545171339563863","0.0338785046728972","0.323208722741433","0.440420560747664","4.5","53.2","95.4","0.5","43.531074168798","0.877237851662404","0.415185007208073","5.8","88.7","0","0.0502024291497976","64.76","0.349215572341662","47.2","0.711740890688259"
"23","42003080200","Census Tract 802, Allegheny County, Pennsylvania","16.1","38.5","17.7","47","0.0668965517241379","0.00579310344827586","0","96.1","0.324921135646688","0.175867507886435","0.0796529968454259","0.224763406940063","0.15615141955836","2.1","67.4","96.1","0","85.3042553191489","0.436170212765957","0.224231464737794","3.4","68","0","0","36.83","0.239709443099274","30.3","0.661308840413318"
"24","42003080400","Census Tract 804, Allegheny County, Pennsylvania","16.3","32.7","5.7","37","0.0102319236016371","0.00259208731241473","62.5","99.7","0.186323092170466","0.112983151635282","0.0981169474727453","0.304261645193261","0.295341922695738","3.4","65.6","99.7","2","62.5697624190065","0.73866090712743","0.262924667651403","2.7","82.9","0.0198757763975155","0.00745341614906832","52.95","0.271464646464646","41.2","0.681987577639752"
