Culture,,,,,
,,Source,Exact definition,Notes,Webpage or R tidyensus
,GOAL 2 ,,,,
,Zero Hunger,,,,
,,,,,
,Percent of population that is obese (2.2),Cities 500 - CDC information,% of Adults (>= 18) that are obese,Only for the tracts in the city of Pittsburgh,https://nccd.cdc.gov/500_Cities/rdPage.aspx?rdReport=DPH_500_Cities.InteractiveMap&islCategories=HLTHOUT&islMeasures=ARTHRITIS&islStates=42&rdRnd=3184
,Percent of population receiving SNAP benefits (2.1),Census - Table: S2201_C04_001E,% of households receiving SNAP benefits,,R
,GOAL 3 ,,,,
,Good Health & Well-being,,,,
,,,,,
,"INDICATOR 3.4.1n1 Percent of people with cardiovascular disease, by section of population",Cities 500 - CDC information,% of Adults (>= 18) who Experienced Coronary Heart Disease,Only for the tract in the city of Pittsburgh,https://nccd.cdc.gov/500_Cities/rdPage.aspx?rdReport=DPH_500_Cities.InteractiveMap&islCategories=HLTHOUT&islMeasures=ARTHRITIS&islStates=42&rdRnd=3184
,"INDICATOR 3.4.1n2 Percent of people with cancer, by section of population",Cities 500 - CDC information,% of Adults (>= 18) with Cancer (except skin),Only for the tract in the city of Pittsburgh,https://nccd.cdc.gov/500_Cities/rdPage.aspx?rdReport=DPH_500_Cities.InteractiveMap&islCategories=HLTHOUT&islMeasures=ARTHRITIS&islStates=42&rdRnd=3184
,"INDICATOR 3.4.1n3 Percent of people with diabetes disease, by section of population",Cities 500 - CDC information,% of Adults (>= 18) diagnosed with diabetes,Only for the tract in the city of Pittsburgh,https://nccd.cdc.gov/500_Cities/rdPage.aspx?rdReport=DPH_500_Cities.InteractiveMap&islCategories=HLTHOUT&islMeasures=ARTHRITIS&islStates=42&rdRnd=3184
,INDICATOR 3.5.1n3 Number or percent of people who are experiencing issues with substance abuse and/or addiction.,Cities 500 - CDC information- Alcohol abuse,Binge drinking among adults aged ≥18 years,Only for the tract in the city of Pittsburgh,https://nccd.cdc.gov/500_Cities/rdPage.aspx?rdReport=DPH_500_Cities.InteractiveMap&islCategories=HLTHOUT&islMeasures=ARTHRITIS&islStates=42&rdRnd=3184
,INDICATOR 3.6.1n1 Death rate due to road traffic injuries.,Allegheny county data center,Number of death from crash injuries,To do - Data from 2017,https://data.wprdc.org/dataset/allegheny-county-crash-data
,GOAL 5,,,,
,Gender Equality,,,,
,,,,,
,Median earnings gap between women and men (5.1),Census- Tables: B20002_003E  - B20002_002E,Difference median income men/women,Own estimates using Census data,R
,GOAL 10 ,,,,
,Reduced Inequalities,,,,
,,,,,
,Income distribution (GINI coefficient) (10.2),Census- Tables: B02001_001E - B02001_002E,% GINI coefficient within each tract,Own estimates using Census data,R
,Racial segregation (10.2),Census- Tables: S1901_C01_001E - S1901_C01_002E - S1901_C01_003E - S1901_C01_004E - S1901_C01_005E - S1901_C01_006E - S1901_C01_007E - S1901_C01_008E - S1901_C01_009E - S1901_C01_010E,Percentage points difference between each tract and the total % of white living in Allegheny,"Own estimates using Census data, base on Population Studies Center, University of Michigan",R
,GOAL 11,,,,
,Sustainable Cities & Communities,None data available,,,
,,,,,
,GOAL 16,,,,
,"Peace, Justice, & Strong Institutions",,,,
,,,,,
,"INDICATOR 16.1.1n1 Murder rate, by section of population.",Allegheny county data center,Number of murder in the tract,To do - Data from 2018,https://data.wprdc.org/dataset/police-incident-blotter
,"TARGET 16.1.3n1 Percent of people that have reported incidences of violence or sexual assault, by section of the population.",Allegheny county data center,Number of violent crimes in the tract,To do - Data from 2018,https://data.wprdc.org/dataset/police-incident-blotter
,,,,,
Opportunity,,,,,
,,,,,
,,Source,Exact definition,Notes,Webpage or R tidyensus
,GOAL 1,,,,
,No Poverty,,,,
,,,,,
,"INDICATOR 1.2.1.n1 Current poverty levels as defined by USA, by sections of the population. {woman, parents}",Census - Table: S1702_C02_001E - S1702_C06_001E,"% of families consider poor, and single women family consider poor ",The index is compose by two observations,R
,"INDICATOR 1.3.1n3 Percentage of population receiving TANF, by sections of the population.",Census - Table: B17015_002E,% of household receiving TANF benefits,,R
,"INDICATOR 1.3.1n4 Percent of people covered by at least one social protection benefit, by sections of the population.",Census - Table: S2201_C04_001E,% of household receiving SNAP benefits,,R
,"INDICATOR 1.3.1n7 Percent of people with severe disabilities receiving disability cash benefit, by sections of the population.",Census - Table: S2301_C01_001E - S2301_C01_001E,"% of people with disability unemploy and poor receiving cash benefits, as % of the total population",,R
,"INDICATOR 1.3.1n8 Percent of people receiving unemployment cash benefit, by sex, or other relevant sections of population, by sections of the population.",Census - Table: S2301_C04_028E,"% of unemploy-poor receiving cash benefits, as % of the total population",,R
,GOAL 4,,,,
,Quality Education,,,,
,,,,,
,"INDICATOR 4.2.2n1 Percentage of 2, 3, and 4 year children attending preschool programs, by section of population.",Census - Table: S1401_C02_014E,% of 3 and 4 children attending preschool programs,,R
,"INDICATOR 4.3.1n1 Percentage of adults with did not complete high school or high school equivalency, by section of population. {%s high school completeion",Census - Table: S1501_C02_014E,"% of Adults (>= 25) that did not complete high school or equivalent, as % of the total adult population",,R
,"INDICATOR 4.3.1n2 Percentage of adults that the highest educational level is high school or high school equivalency, by section of population.",Census - Table: B15003_001E - B15003_017E - B15003_018E,"% of Adults (>= 25) that only  complete high school or equivalent, as % of the total adult population",,R
,"INDICATOR 4.3.1n3 Percentage of adults who have attending college, by section of population.",Census - Table: B15003_019E -B15003_020E,"% of Adults (>= 25) that attended college but didn't earn a degree, as % of the total adult population",,R
