GEOID,INDI_3_41n1,INDI_3_41n2,INDI_3_41n3,INDI_2_2,INDI_3_51n3,INDI_2_1,INDI_5_1,INDI_10_2,INDI_10_3,INDI_3_61n1,INDI_3_41,Goal_2,Rank_Goal_2,Goal_3,Rank_Goal_3,Goal_5,Rank_Goal_5,Goal_10,Rank_Goal_10,Cult_Index,Rank_Cult_Index,,INDI_1_21n1_fam,INDI_1_21n1_sing_women,INDI_1_31n4,INDI_1_31n3,INDI_1_31n7,INDI_1_31n8,INDI_4_22n1,INDI_4_31n1,INDI_4_31n2,INDI_4_31n3,INDI_4_31n4,INDI_4_31n5,INDI_4_31n6,INDI_8_52n1,INDI_8_61n1,INDI_8_61n2_1,INDI_8_61n2_2,8_Disc_labor,8_Disc_sc_enroll,8_STEM_major,INDI_9_22n1,INDI_9_c1n1,11_inad_plum,11_inad_rooms,INDI_11_31n2,11_use_pub_trans,11_Earn_lessthan_35K_30p_house_cost,11_percent_of_renters,INDI_1_21n1,INDI_8_61n2,Disc_youth,Inad_house,Goal_1,Rank_Goal_1,Goal_4,Rank_Goal_4,Goal_8,Rank_Goal_8,Goal_9,Rank_Goal_9,Goal_11,Rank_Goal_11,Opt_Index,Rank_Opt_Index,,INDI_6_31n3,INDI_6_31n2,INDI_7_12n1,INDI_7_1 ,INID_11_71n1 .,11_Walkability_Score,12_toxic_release_of_air,INDI_15_1.1n1,15_green_open_space,Goal_6,Rank_Goal_6,Goal_7,Rank_Goal_7,Goal_11,Rank_Goal_11,Goal_12,Rank_Goal_12,Goal_15,Rank_Goal_15,Sust_Index,Rank_Sust_Index,,Vibrant_Index,
42003010300,87.778,93.467,86.957,65.313,13.876,60.744,47.062,25.413,81.716,0.000,89.401,63.028,159,34.425,339.000,47.062,305,53.564,311.00,49.520,356.000,,62,49,72,86,92,98,100,54,63,26,43,6,6,64,24,46,6,32,85,61,98,80,100,85,47,30,43,17,55.5,26,58.5,92.5,80.7,255,42.57142857,26,46.7,349,89,87,45.9,379,60.97428571,283,,0,54.9790402,2.9077452,12.4549665,0,82,100,0,1.4626058,54.97904022,117,7.681355861,298,82,11,100,1,1.46260584,254,49.22460038,27,,53.240,
42003020100,58.889,85.427,80.000,82.188,22.488,92.975,9.921,29.463,99.287,0.000,74.772,87.581,59,32.420,366.000,9.921,378,64.375,120.00,48.574,364.000,,88,67,87,78,87,96,100,3,93,11,22,31,45,88,65,97,2,57,91,38,95,83,100,86,67,14,70,18,77.5,49.5,74,93,85.1,214,43.57142857,14,62.9,70,89,87,52.4,336,66.59428571,155,,65,54.9790402,0,100,0,100,100,0,0.0257547,59.98952011,72,100,1,100,1,100,1,0.025754706,399,72.00305496,1,,62.391,
42003020300,57.778,91.960,87.391,84.375,14.833,94.628,54.689,47.670,92.329,0.000,79.043,89.502,57,31.292,382.000,54.689,260,70.000,20.00,61.370,222.000,,100,100,98,100,93,100,100,1,96,7,27,47,36,94,88,99,5,100,19,45,87,92,100,51,68,10,91,12,100,52,59.5,75.5,98.2,9,44.85714286,6,67.7,4,89.5,76,51.3,350,70.31142857,48,,5,49.6799426,1.3200528,29.0787442,0.1593736,83,100,0.1593736,0.0664735,27.33997131,346,15.19939851,191,41.57968678,42,100,1,0.112923545,389,36.84639603,250,,56.176,
42003030500,33.333,58.794,19.565,22.813,85.646,34.298,85.517,15.361,10.317,0.000,37.231,28.555,297,40.959,285.000,85.517,87,12.839,388.00,41.968,390.000,,65,60,49,55,18,83,100,60,59,18,32,12,5,42,36,40,21,60,61,25,98,53,78,88,45,19,36,24,62.5,30.5,60.5,83,53.5,370,40.85714286,46,38.8,374,75.5,356,41.4,386,50.01142857,371,,30,54.9790402,0,43.0777149,0.0917751,77,100,0.0917751,0.4459701,42.48952011,231,43.07771487,18,38.54588757,52,100,1,0.26887263,372,44.87639904,55,,45.618,
42003040200,73.333,85.930,73.043,65.625,48.804,34.298,0.280,11.718,51.270,0.000,77.435,49.961,200,42.080,280.000,0.280,380,31.494,361.00,30.954,399.000,,72,58,49,85,52,71,0,32,62,14,27,14,19,49,40,68,0,53,88,44,93,67,100,79,52,27,53,26,65,34,70.5,89.5,64.4,343,24,367,47.5,343,80,311,49.5,362,53.08,353,,5,45.9862125,0,24.0349974,0.2159283,71,100,0.2159283,0.0168325,25.49310626,357,24.03499743,76,35.60796415,71,99.99999999,175,0.11638041,388,37.05048965,243,,40.361,
42003040400,37.778,73.367,76.087,98.750,60.766,100.000,0.000,14.353,83.503,0.000,62.411,99.375,7,41.059,284.000,0.000,381,48.928,327.00,47.340,366.000,,89,80,100,90,80,100,,2,94,9,12,34,48,84,40,98,0,44,96,49,98,76,80,49,20,12,39,53,84.5,49,70,64.5,90.9,125,,#N/A,58.4,203,87,149,37.7,389,54.8,346,,5,45.3410104,1.2724118,28.7184766,0,82,99.9884223,0,0.0229529,25.17050518,362,14.99544419,195,82,11,99.98842227,302,0.022952925,400,44.43546491,66,,48.859,
42003040500,90.000,92.965,91.739,78.125,39.713,95.868,100.000,25.464,91.667,0.000,91.568,86.996,60,43.760,272.000,100.000,1,58.566,263.00,72.331,91.000,,51,36,98,83,86,99,100,19,84,21,0,41,16,80,53,81,1,58,95,93,95,90,100,89,15,13,15,5,43.5,41,76.5,94.5,81.9,247,40.14285714,58,68.7,2,92.5,21,28.5,391,62.34857143,259,,0,45.3410104,7.0263659,55.1724138,0.0382501,78,99.9997058,0.0382501,2.0715378,45.34101036,210,31.09938983,43,39.01912505,48,99.99970577,233,1.054893946,285,43.30282499,86,,59.327,
42003040600,85.556,91.457,90.870,81.563,28.230,96.694,84.606,21.940,95.939,0.000,89.294,89.128,58,39.175,299.000,84.606,89,58.940,258.00,67.962,136.000,,87,100,99,95,86,97,,91,88,17,23,29,11,78,61,9,1,68,87,63,97,84,100,85,27,20,22,12,93.5,5,77.5,92.5,94.1,69,,#N/A,56.9,241,90.5,53,34.7,390,55.24,343,,0,45.3410104,1.1383236,40.2470407,0.0438508,75,99.9999999,0.0438508,1.2160541,45.34101036,210,20.69268211,114,37.52192538,55,99.99999991,183,0.629952445,333,40.83711404,135,,54.680,
42003040900,63.333,79.899,70.000,65.313,42.584,83.058,100.000,17.702,85.104,0.000,71.078,74.185,109,37.887,312.000,100.000,1,51.403,320.00,65.869,157.000,,70,51,83,76,78,95,100,34,77,18,48,17,22,68,49,66,0,50,83,75,98,78,100,78,33,12,38,31,60.5,33,66.5,89,78.5,277,45.14285714,4,58.3,208,88,122,40.6,387,62.10857143,261,,0,52.0129986,2.4964166,45.5995883,0.255918,68,99.7730298,0.255918,3.898093,52.01299858,150,24.04800245,75,34.12795901,81,99.77302979,364,2.07700553,226,42.40779907,104,,56.795,
42003050100,30.000,51.759,4.783,10.000,92.344,17.355,100.000,22.419,8.424,0.000,28.847,13.678,353,40.397,291.000,100.000,1,15.422,381.00,42.374,387.000,,58,44,28,38,49,79,32,77,71,29,59,3,5,41,49,23,6,74,43,17,97,49,100,100,60,59,49,28,51,14.5,58.5,100,49,375,39.42857143,78,36,378,73,373,59.2,231,51.32571429,363,,5,54.9790402,2.2088353,37.004632,0.0348773,60,100,0.0348773,11.1363444,29.98952011,326,19.60673368,127,30.01743863,109,100,1,5.585610857,126,37.03986066,244,,43.580,
42003050600,18.889,61.809,35.652,42.500,81.818,62.810,,21.180,22.545,0.000,38.783,52.655,193,40.201,294.000,,381,21.863,377.00,38.239,395.000,,87,73,73,82,57,90,0,30,70,16,31,16,23,79,45,70,45,63,37,28,97,64,100,64,66,9,58,62,80,57.5,50,82,76.4,292,26.57142857,348,51.9,309,80.5,305,55.4,308,58.15428571,317,,0,44.4343052,3.1754118,17.6531137,0.2134822,74,100,0.2134822,1.4038701,44.43430518,215,10.41426276,258,37.10674111,59,100,1,0.808676167,312,38.55279704,186,,44.982,
42003050900,44.444,51.759,6.522,0.312,98.565,16.942,100.000,26.788,2.964,0.000,34.242,8.627,368,44.269,270.000,100.000,1,14.876,384.00,41.943,391.000,,46,56,28,47,28,56,67,43,50,24,34,5,1,10,39,57,49,70,31,15,98,45,65,81,72,44,56,10,51,53,50.5,73,42,382,32,267,33.5,382,71.5,383,51,352,46,382,,0,50.2826815,0,36.5928976,0.3137701,77,100,0.3137701,1.4648961,50.28268153,165,36.59289758,27,38.65688504,50,100,1,0.889333098,299,45.28435945,49,,44.409,
42003051000,72.222,80.402,59.130,50.000,45.933,43.388,100.000,13.654,54.529,0.000,70.585,46.694,213,38.839,302.000,100.000,1,34.092,353.00,54.906,307.000,,40,39,60,70,75,94,73,29,69,30,19,8,19,77,41,71,2,33,88,49,98,68,100,100,41,68,24,10,39.5,36.5,60.5,100,67.7,330,35.28571429,196,52.8,295,83,254,48.6,368,57.47714286,325,,5,54.9790402,2.8049299,33.3504889,0.152901,58,99.9882666,0.152901,8.4473154,29.98952011,326,18.07770941,149,29.07645049,112,99.98826659,303,4.300108207,148,36.28641096,266,,49.557,
42003051100,70.000,82.412,51.739,24.688,69.856,7.851,,41.994,,0.000,68.050,16.269,342,45.969,268.000,,381,41.994,335.00,34.744,396.000,,100,100,9,100,60,,0,83,38,0,24,8,0,42,52,17,0,,0,0,89,46,100,100,78,100,85,0,100,8.5,,100,,#N/A,21.85714286,375,,#N/A,67.5,389,72.6,16,32.39142857,389,,0,54.9790402,0,4.2202779,0.0656325,62,99.9867966,0.0656325,1.2583725,54.97904022,117,4.220277921,357,31.03281627,103,99.98679661,305,0.662002511,328,38.17618671,200,,35.104,
42003060300,42.222,78.392,71.304,65.000,35.885,75.620,72.308,29.333,99.947,0.000,63.973,70.310,126,33.286,352.000,72.308,152,64.640,113.00,60.136,238.000,,84,61,78,80,83,89,0,26,84,18,17,32,22,77,72,74,9,74,79,23,86,80,89,80,66,14,67,45,72.5,41.5,76.5,84.5,80.5,256,28.42857143,324,58,213,83,254,55.3,311,61.04571429,281,,10,44.580943,1.4940116,35.5635615,0.1066512,91,100,0.1066512,1.4015182,27.29047152,347,18.52878655,141,45.55332561,32,100,1,0.754084687,321,38.42533368,193,,53.202,
42003060500,33.333,72.362,67.391,62.813,43.062,80.165,100.000,28.469,86.445,0.000,57.695,71.489,123,33.586,350.000,100.000,1,57.457,280.00,65.633,160.000,,95,84,81,96,94,74,100,27,76,17,37,27,16,86,71,73,0,83,42,29,93,74,100,100,76,23,72,51,89.5,36.5,62.5,100,86.9,194,42.85714286,20,57,233,83.5,243,64.4,125,66.93142857,143,,5,44.4343052,0,17.9619146,0.1694578,88,100,0.1694578,0.4536432,24.71715259,364,17.96191457,151,44.0847289,34,100,1,0.3115505,365,37.41506931,221,,56.660,
